,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,observing,describing,accepting,acting,age,gender,age group
497,Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),3.0,3.0,3.7,3.6,61,male,late middle age
498,Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),3.4,3.0,3.7,2.6,50,male,late middle age
499,Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),3.5,2.5,2.8,3.4,24,male,early adulthood
500,Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),3.0,4.6,3.4,3.7,31,male,early adulthood
501,Often true (4),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),,Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),3.4,3.0,3.1,,18,female,adolescence
502,Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),4.0,2.8,2.6,2.8,23,female,early adulthood
503,Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),3.7,4.5,3.2,3.5,25,male,early adulthood
504,Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),4.7,5.0,4.6,4.1,24,male,early adulthood
505,Rarely true (2),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),3.0,2.5,1.6,2.2,24,female,early adulthood
506,Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),,Sometimes true (3),3.2,3.0,2.7,2.4,40,male,early middle age
507,Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),2.5,1.1,2.6,1.3,25,male,early adulthood
508,Rarely true (2),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),3.2,3.4,2.3,4.7,30,male,early adulthood
509,Never or very rarely true (1),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Never or very rarely true (1),Very often or always true (5),Often true (4),1.9,4.6,4.9,3.7,43,male,early middle age
510,Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Never or very rarely true (1),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),3.6,3.2,4.3,2.2,24,male,early adulthood
511,Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),3.7,4.0,3.4,3.4,54,female,late middle age
512,Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Rarely true (2),Often true (4),Very often or always true (5),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Often true (4),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),4.5,5.0,2.6,2.0,18,female,adolescence
513,Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Often true (4),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Very often or always true (5),Often true (4),Never or very rarely true (1),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),3.4,3.8,4.6,1.8,59,female,late middle age
514,Very often or always true (5),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Often true (4),Often true (4),3.7,3.4,2.2,3.7,39,male,early middle age
515,Never or very rarely true (1),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Rarely true (2),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Often true (4),Rarely true (2),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Rarely true (2),2.1,1.5,1.7,2.4,28,female,early adulthood
516,Rarely true (2),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Often true (4),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),2.7,2.2,3.3,2.7,23,female,early adulthood
517,Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),4.1,4.1,1.8,3.5,46,male,late middle age
518,Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),3.8,3.8,4.0,3.8,46,male,late middle age
519,Often true (4),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Rarely true (2),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),Rarely true (2),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Often true (4),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Often true (4),Very often or always true (5),Often true (4),4.1,3.2,1.4,2.8,25,female,early adulthood
520,Very often or always true (5),Rarely true (2),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Never or very rarely true (1),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),3.5,2.4,1.8,2.8,22,female,early adulthood
521,Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),3.5,3.9,2.7,2.9,44,female,early middle age
522,Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),3.1,3.6,3.2,2.7,48,male,late middle age
523,Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Very often or always true (5),4.1,3.2,3.4,3.2,32,male,early adulthood
524,Sometimes true (3),Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),3.5,3.5,1.6,3.4,26,female,early adulthood
525,Rarely true (2),Very often or always true (5),Rarely true (2),Often true (4),Never or very rarely true (1),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Rarely true (2),Often true (4),Never or very rarely true (1),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Often true (4),2.5,4.4,3.7,2.3,68,male,late adulthood
526,Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),3.3,2.4,2.7,2.7,18,male,adolescence
527,Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Never or very rarely true (1),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),3.3,3.4,3.3,3.9,33,male,early adulthood
528,Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),4.0,2.9,4.4,2.2,29,female,early adulthood
529,Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Often true (4),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),3.5,2.9,3.8,2.7,31,male,early adulthood
530,Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Rarely true (2),3.4,4.2,4.2,2.8,31,female,early adulthood
531,Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),3.3,4.9,2.7,3.0,43,male,early middle age
532,Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),2.9,3.2,4.3,3.2,26,female,early adulthood
533,Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),4.7,4.8,4.6,3.5,49,male,late middle age
534,Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Sometimes true (3),Rarely true (2),Very often or always true (5),Often true (4),Never or very rarely true (1),Sometimes true (3),Very often or always true (5),Sometimes true (3),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),2.4,2.8,4.8,2.8,25,male,early adulthood
535,Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),4.3,4.5,4.7,3.3,22,male,early adulthood
536,Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Never or very rarely true (1),Often true (4),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Very often or always true (5),4.3,3.8,3.7,3.6,27,male,early adulthood
